,ID,Month,Year,house_sold
228,229,1,2001,936000
229,230,12,2000,983000
230,231,11,2000,880000
231,232,10,2000,933000
232,233,9,2000,912000
233,234,8,2000,848000
234,235,7,2000,887000
235,236,6,2000,793000
236,237,5,2000,857000
237,238,4,2000,841000
238,239,3,2000,900000
239,240,2,2000,856000
240,241,1,2000,873000
241,242,12,1999,873000
242,243,11,1999,863000
243,244,10,1999,872000
244,245,9,1999,826000
245,246,8,1999,893000
246,247,7,1999,900000
247,248,6,1999,923000
248,249,5,1999,888000
249,250,4,1999,918000
250,251,3,1999,863000
251,252,2,1999,848000
252,253,1,1999,875000
253,254,12,1998,949000
254,255,11,1998,995000
255,256,10,1998,893000
256,257,9,1998,864000
257,258,8,1998,846000
258,259,7,1998,876000
259,260,6,1998,923000
260,261,5,1998,887000
261,262,4,1998,866000
262,263,3,1998,836000
263,264,2,1998,866000
264,265,1,1998,872000
265,266,12,1997,793000
266,267,11,1997,864000
267,268,10,1997,800000
268,269,9,1997,840000
269,270,8,1997,815000
270,271,7,1997,805000
271,272,6,1997,793000
272,273,5,1997,760000
273,274,4,1997,744000
274,275,3,1997,831000
275,276,2,1997,801000
276,277,1,1997,830000
277,278,12,1996,805000
278,279,11,1996,771000
279,280,10,1996,720000
280,281,9,1996,770000
281,282,8,1996,826000
282,283,7,1996,770000
283,284,6,1996,721000
284,285,5,1996,746000
285,286,4,1996,736000
286,287,3,1996,721000
287,288,2,1996,769000
288,289,1,1996,714000
289,290,12,1995,709000
290,291,11,1995,664000
291,292,10,1995,696000
292,293,9,1995,678000
293,294,8,1995,701000
294,295,7,1995,765000
295,296,6,1995,725000
296,297,5,1995,674000
297,298,4,1995,621000
298,299,3,1995,616000
299,300,2,1995,559000
300,301,1,1995,626000
301,302,12,1994,629000
302,303,11,1994,646000
303,304,10,1994,715000
304,305,9,1994,677000
305,306,8,1994,656000
306,307,7,1994,628000
307,308,6,1994,621000
308,309,5,1994,691000
309,310,4,1994,692000
310,311,3,1994,747000
311,312,2,1994,686000
312,313,1,1994,619000
313,314,12,1993,812000
314,315,11,1993,769000
315,316,10,1993,704000
316,317,9,1993,726000
317,318,8,1993,645000
318,319,7,1993,655000
319,320,6,1993,653000
320,321,5,1993,626000
321,322,4,1993,701000
322,323,3,1993,602000
323,324,2,1993,604000
324,325,1,1993,596000
325,326,12,1992,650000
326,327,11,1992,614000
327,328,10,1992,621000
328,329,9,1992,650000
329,330,8,1992,636000
330,331,7,1992,627000
331,332,6,1992,596000
332,333,5,1992,554000
333,334,4,1992,546000
334,335,3,1992,553000
335,336,2,1992,639000
336,337,1,1992,676000
337,338,12,1991,558000
338,339,11,1991,575000
339,340,10,1991,524000
340,341,9,1991,487000
341,342,8,1991,526000
342,343,7,1991,511000
343,344,6,1991,516000
344,345,5,1991,517000
345,346,4,1991,508000
346,347,3,1991,507000
347,348,2,1991,482000
348,349,1,1991,401000
349,350,12,1990,464000
350,351,11,1990,493000
351,352,10,1990,465000
352,353,9,1990,496000
353,354,8,1990,528000
354,355,7,1990,542000
355,356,6,1990,545000
356,357,5,1990,534000
357,358,4,1990,542000
358,359,3,1990,574000
359,360,2,1990,591000
360,361,1,1990,620000
